0	3
1	3
2	3
3	3
4	0
5	3
6	3
7	3
8	3
9	0
10	0
11	3
12	3
13	1
14	3
15	3
16	3
17	3
18	2
19	0
20	3
21	3
22	1
23	3
24	3
25	0
26	3
27	3
28	1
29	3
30	3
31	3
32	3
33	3
34	3
35	3
36	3
37	1
38	3
39	3
40	1
41	3
42	3
43	3
44	3
45	3
46	3
47	3
48	3
49	3
50	2
51	0
52	3
53	3
54	3
55	3
56	3
57	1
58	3
59	3
60	1
61	3
62	3
63	1
64	3
65	3
66	3
67	1
68	1
69	3
70	3
71	3
72	1
73	3
74	3
75	3
76	1
77	1
78	3
79	3
80	1
81	1
82	3
83	3
84	3
85	3
86	3
87	3
88	1
89	3
90	1
91	3
92	3
93	1
94	3
95	2
96	1
97	3
98	3
99	3
100	3
101	3
102	3
103	3
104	3
105	3
106	1
107	3
108	3
109	1
110	3
111	1
112	1
113	3
114	3
115	3
116	2
117	3
118	3
119	3
120	3
121	3
122	1
123	3
124	3
125	1
126	3
127	3
128	1
129	3
130	3
131	3
132	3
133	3
134	3
135	3
136	3
137	1
138	1
139	3
140	3
141	3
142	1
143	3
144	1
145	3
146	3
147	3
148	3
149	3
150	3
151	3
152	3
153	3
154	1
155	3
156	1
157	3
158	1
159	1
160	3
161	3
162	3
163	3
164	3
165	5
166	1
167	1
168	3
169	1
170	3
171	3
172	3
173	3
174	3
175	1
176	1
177	3
178	3
179	3
180	1
181	3
182	3
183	3
184	3
185	3
186	3
187	1
188	3
189	3
190	1
